img_dir,price,label
151,269.99,"Color:  wood / L: 51.18 - W: 31.49 - H: 28.74, inch / Price: 269.99"
152,119.99,"Color:  white / L: 57.2 - W: 27.6 - H: 29.5, inch / Price: 119.99"
153,159.99,"Color:  wood / L: 46.85 - W: 27.16 - H: 29.13, inch / Price: 159.99"
154,199.99,"Color:  wood / L: 47.2 - W: 23.4 - H: 29, inch / Price: 199.99"
155,309.99,"Color:  white / L: 47.2 - W: 27.5 - H: 30, inch / Price: 309.99"
156,1492,"Color:  white / L: 55.12 - W: 31.5 - H: 29.53, inch / Price: 1492"
157,1679,"Color:  white / L: 62.99 - W: 31.5 - H: 29.53, inch / Price: 1679"
158,389.99,"Color:  wood / L: 62.2 - W: 30.7 - H: 29.53, inch / Price: 389.99"
159,259.99,"Color:  white / L: 70.86 - W: 31.1 - H: 30.7, inch / Price: 259.99"
160,235.55,"Color:  wood / L: 42.5 - W: 25.6 - H: 28.7, inch / Price: 235.55"
161,339.99,"Color:  white / L: 63 - W: 31.5 - H: 29.53, inch / Price: 339.99"
162,469.98,"Color:  white / L: 75 - W: 35.4 - H: 30, inch / Price: 339.99"
163,274.99,"Color:  white / L: 70.9 - W: 33.5 - H: 29.5, inch / Price: 274.99"
164,449.99,"Color:  white / L: 63 - W: 31.5 - H: 30.5, inch / Price: 449.99"
165,214.99,"Color:  wood / L: 43.25 - W: 27.5 - H: 29.5, inch / Price: 214.99"
166,279.99,"Color:  clear / L: 47.2 - W: 31.5 - H: 29.5, inch / Price: 279.99"
167,115.99,"Color:  wood / L: 31.1 - W: 31.1- H: 29.13, inch / Price: 115.99"
168,209.99,"Color:  white / L: 55.11 - W: 31.49- H: 29.52, inch / Price: 209.99"
169,1236,"Color:  white / L: 70.87 - W: 31.5- H: 29.56, inch / Price: 1236"
170,249.99,"Color:  white / L: 62.9 - W: 35.4- H: 28.3, inch / Price: 249.99"
171,359.99,"Color:  white / L: 63 - W: 31.49- H: 29.52, inch / Price: 359.99"
172,279.99,"Color:  white / L: 31.5 - W: 31.5- H: 30, inch / Price: 279.99"
173,2399,"Color:  white / L: 62.99 - W: 31.5- H: 29.53, inch / Price: 2399"
174,2199,"Color:  white / L: 70.87 - W: 35.43- H: 29.53, inch / Price: 2199"
175,339.97,"Color:  white / L: 70.87 - W: 31.5- H: 29.9, inch / Price: 339.97"
176,269.99,"Color:  grey / L: 63 - W: 32- H: 31, inch / Price: 269.99"
177,124.99,"Color:  oak / L: 47.2 - W: 27.2- H: 29.5, inch / Price: 124.99"
178,124.99,"Color:  oak / L: 47.2 - W: 27.2- H: 29.5, inch / Price: 124.99"
179,110.49,"Color:  wood / L: 55.1 - W: 29.5- H: 29.1, inch / Price: 110.49"
180,152.94,"Color:  wood / L: 46.5 - W: 29.1- H: 28.7, inch / Price: 152.94"
181,131.74,"Color:  wood / L: 63 - W: 27.6- H: 29.9, inch / Price: 131.74"
182,111.66,"Color:  wood / L: 47.2 - W: 27.2- H: 29.5, inch / Price: 111.66"
183,730.82,"Color:  white / L: 62.99 - W: 31.5- H: 29.56, inch / Price: 730.82"
184,190.13,"Color:  white / L: 62.9 - W: 35.4 - H: 28.3, inch / Price: 190.13"
185,199.74,"Color:  white / L: 62.9 - W: 35.4 - H: 28.3, inch / Price: 190.13"
186,205.07,"Color:  grey / L: 78.7 - W: 31.5 - H: 29.7, inch / Price: 205.07"
187,187.49,"Color:  wood / L: 51 - W: 27.5 - H: 30, inch / Price: 187.49"
188,174.1,"Color:  wood / L: 43.25 - W: 27.5 - H: 29.5, inch / Price: 174.1"
189,130.92,"Color:  wood / L: 23.6 - W: 23.6 - H: 29.9, inch / Price: 130.92"
190,67.99,"Color:  white / L: 29.5 - W: 29.5 - H: 29.5, inch / Price: 67.99"
191,414.49,"Color:  wood / L: 62.2 - W: 30.7 - H: 29.53, inch / Price: 414.49"
192,351.82,"Color:  white / L: 31.5 - W: 31.5 - H: 30, inch / Price: 351.82"
193,200.6,"Color:  wood / L: 78.74 - W: 27.55 - H: 29.52, inch / Price: 200.6"
194,164.31,"Color:  wood / L: 43.3 - W: 23.6 - H: 29.5, inch / Price: 164.31"
195,366.89,"Color:  wood / L: 43.3 - W: 27.6 - H: 29.6, inch / Price: 366.89"
196,539.49,"Color:  wood / L: 55.1 - W: 27.6 - H: 29.5, inch / Price: 539.49"
197,206.49,"Color:  beige / L: 47 - W: 27.5 - H: 29.5, inch / Price: 206.49"
198,156.49,"Color:  white / L: 62.9 - W: 35.4 - H: 28.3, inch / Price: 156.49"
199,201.99,"Color:  grey / L: 31.5 - W: 31.5 - H: 29.9, inch / Price: 201.99"
200,280.01,"Color:  wood / L: 63 - W: 35.4 - H: 29.3, inch / Price: 280.01"
