img_dir,price,label
1,129.99,"Color: white / L: 39.4 - W: 18.9 - H: 30.5, inch / Price: 129.99"
2,169.99,"Color: white / L: 55.1 - W: 18.9 - H: 30.5, inch / Price: 169.99"
3,149.99,"Color: white / L: 47.2 - W: 18.9 - H: 30.5, inch / Price: 149.99"
4,199.99,"Color: white / L: 63.0 - W: 18.5 - H: 30.7, inch / Price: 199.99"
5,299.87,"Color: maple / L: 55.0 - W: 28.0 - H: 28.0, inch / Price: 299.87"
6,249.87,"Color: maple / L: 48.0 - W: 24.0 - H: 28.0, inch / Price: 249.87"
7,199.87,"Color: maple / L: 40.0 - W: 24.0 - H: 28.0, inch / Price: 199.87"
8,249.87,"Color: oak / L: 48.0 - W: 24.0 - H: 28.0, inch / Price: 249.87"
9,249.87,"Color: white / L: 48.0 - W: 24.0 - H: 28.0, inch / Price: 249.87"
10,299.87,"Color: white / L: 55.0 - W: 28.0 - H: 28.0, inch / Price: 299.87"
11,199.87,"Color: white / L: 40.0 - W: 24.0 - H: 28.0, inch / Price: 199.87"
12,159.99,"Color: white / L: 47.2 - W: 31.1 - H: 34.7, inch / Price: 159.99"
13,169.99,"Color: white / L: 55.1 - W: 31.1 - H: 34.7, inch / Price: 169.99"
14,99.99,"Color: oak / L: 51.3 - W: 19.7 - H: 44.7, inch / Price: 99.99"
15,119.99,"Color: oak / L: 43.5 - W: 19.7 - H: 44.7, inch / Price: 119.99"
16,300.42,"Color: white / L: 44.3 - W: 19.7 - H: 44.7, inch / Price: 300.42"
17,99.99,"Color: beige / L: 39.4 - W: 27.5 - H: 29.5, inch / Price: 99.99"
18,109.99,"Color: beige / L: 47.2 - W: 27.6 - H: 29.5, inch / Price: 109.99"
19,104.39,"Color: white / L: 47.2 - W: 27.5 - H: 29.5, inch / Price: 104.39"
20,95.39,"Color: white / L: 39.4 - W: 27.5 - H: 29.5, inch / Price: 95.39"
21,109.99,"Color: ivory / L: 40.0 - W: 27.56 - H: 28.7, inch / Price: 109.99"
22,119.99,"Color: ivory / L: 47.0 - W: 27.56 - H: 28.7, inch / Price: 119.99"
23,124.99,"Color: white / L: 47.0 - W: 27.56 - H: 28.74, inch / Price: 124.99"
24,230.95,"Color: white / L: 47.0 - W: 27.56 - H: 28.7, inch / Price: 230.95"
25,200.0,"Color: white / L: 40.0 - W: 27.56 - H: 28.7, inch / Price: 200.00"
26,303.97,"Color: white / L: 55.0 - W: 27.56 - H: 28.7, inch / Price: 303.97"
27,416.85,"Color: oak / L: 48.0 - W: 24.0 - H: 46.0, inch / Price: 416.85"
28,482.09,"Color: white / L: 55.0 - W: 24.0 - H: 46.0, inch / Price: 482.09"
29,259.99,"Color: oak / L: 55.0 - W: 30.0 - H: 46.0, inch / Price: 259.99"
30,229.99,"Color: oak / L: 55.1 - W: 23.6 - H: 46.5, inch / Price: 229.99"
31,349.99,"Color: oak / L: 63.0 - W: 30.0 - H: 46.0, inch / Price: 349.99"
32,239.99,"Color: oak / L: 55.0 - W: 24.0 - H: 45.0, inch / Price: 239.99"
33,339.99,"Color: oak / L: 63.0 - W: 30.0 - H: 45.0, inch / Price: 339.99"
34,249.99,"Color: white / L: 63.0 - W: 23.6 - H: 47.2, inch / Price: 249.99"
35,169.99,"Color: white / L: 39.4 - W: 23.6 - H: 28.3, inch / Price: 169.99"
36,219.99,"Color: white / L: 55.1 - W: 23.6 - H: 28.3, inch / Price: 219.99"
37,259.99,"Color: natural / L: 55.0 - W: 28.0 - H: 45.5, inch / Price: 259.99"
38,259.99,"Color: oak / L: 55.0 - W: 28.0 - H: 45.5, inch / Price: 259.99"
39,299.99,"Color: bamboo / L: 48.0 - W: 24.0 - H: 28.0, inch / Price: 299.99"
40,269.99,"Color: bamboo / L: 40.0 - W: 24.0 - H: 28.0, inch / Price: 269.99"
41,329.99,"Color: maple / L: 40.0 - W: 24.0 - H: 28.0, inch / Price: 329.99"
42,359.99,"Color: maple / L: 48.0 - W: 24.0 - H: 28.0, inch / Price: 359.99"
43,459.99,"Color:maple / L: 60.0 - W: 24.0 - H: 28.0, inch / Price: 459.99"
44,399.99,"Color: white / L: 55.0 - W: 28.0 - H: 28.6, inch / Price: 399.99"
45,359.99,"Color: white / L: 48.0 - W: 24.0 - H: 29.0, inch / Price: 359.99"
46,329.99,"Color: white / L: 40.0 - W: 24.0 - H: 28.0, inch / Price: 329.99"
47,269.99,"Color: grey / L: 40.0 - W: 24.0 - H: 28.0, inch / Price: 269.99"
48,299.99,"Color: grey / L: 121.0 - W: 61.0 - H: 121.0, inch / Price: 299.99"
49,239.99,"Color: oak / L: 55.0 - W: 24.0 - H: 45.0, inch / Price: 239.99"
50,339.99,"Color: oak/ L: 63.0 - W: 30.0 - H: 45.0, inch / Price: 339.99"
51,169.87,"Color:  black / L: 55 - W: 23.8 - H: 28, inch / Price: 169.87"
52,239.99,"Color:  brown / L: 55 - W: 24 - H: 28.3, inch / Price: 239.99"
