,img_dir,price,color,length,width,height
0,1,129.99,white,39.4,18.9,30.5
1,2,169.99,white,55.1,18.9,30.5
2,3,149.99,white,47.2,18.9,30.5
3,4,199.99,white,63.0,18.5,30.7
4,5,299.87,maple,55.0,28.0,28.0
5,6,249.87,maple,48.0,24.0,28.0
6,7,199.87,maple,40.0,24.0,28.0
7,8,249.87,oak,48.0,24.0,28.0
8,9,249.87,white,48.0,24.0,28.0
9,10,299.87,white,55.0,28.0,28.0
10,11,199.87,white,40.0,24.0,28.0
11,12,159.99,white,47.2,31.1,34.7
12,13,169.99,white,55.1,31.1,34.7
13,14,99.99,oak,51.3,19.7,44.7
14,15,119.99,oak,43.5,19.7,44.7
15,16,300.42,white,44.3,19.7,44.7
16,17,99.99,beige,39.4,27.5,29.5
17,18,109.99,beige,47.2,27.6,29.5
18,19,104.39,white,47.2,27.5,29.5
19,20,95.39,white,39.4,27.5,29.5
20,21,109.99,ivory,40.0,27.56,28.7
21,22,119.99,ivory,47.0,27.56,28.7
22,23,124.99,white,47.0,27.56,28.74
23,24,230.95,white,47.0,27.56,28.7
24,25,200.0,white,40.0,27.56,28.7
25,26,303.97,white,55.0,27.56,28.7
26,27,416.85,oak,48.0,24.0,46.0
27,28,482.09,white,55.0,24.0,46.0
28,29,259.99,oak,55.0,30.0,46.0
29,30,229.99,oak,55.1,23.6,46.5
30,31,349.99,oak,63.0,30.0,46.0
31,32,239.99,oak,55.0,24.0,45.0
32,33,339.99,oak,63.0,30.0,45.0
33,34,249.99,white,63.0,23.6,47.2
34,35,169.99,white,39.4,23.6,28.3
35,36,219.99,white,55.1,23.6,28.3
36,37,259.99,natural,55.0,28.0,45.5
37,38,259.99,oak,55.0,28.0,45.5
38,39,299.99,bamboo,48.0,24.0,28.0
39,40,269.99,bamboo,40.0,24.0,28.0
40,41,329.99,maple,40.0,24.0,28.0
41,42,359.99,maple,48.0,24.0,28.0
42,43,459.99,maple,60.0,24.0,28.0
43,44,399.99,white,55.0,28.0,28.6
44,45,359.99,white,48.0,24.0,29.0
45,46,329.99,white,40.0,24.0,28.0
46,47,269.99,grey,40.0,24.0,28.0
47,48,299.99,grey,121.0,61.0,121.0
48,49,239.99,oak,55.0,24.0,45.0
49,50,339.99,oak,63.0,30.0,45.0
50,51,169.87,black,55,23.8,28
51,52,239.99,brown,55,24,28.3
52,53,149.99,black,47.2,18.5,30
53,54,88.97,black,40,19,28
54,55,122.87,black,48,23.8,28
55,56,99.99,black,47,21.6,29.4
56,57,229.99,gray oak,60,23.6,30.1
57,58,135.33,brown,35.4,16.1,29.5
58,59,135.33,gray,35.4,16.1,29.5
59,60,88.97,brown,40,19,28
60,61,124.99,black,39.4,19.7,28.7
61,62,189.99,black,47.2,23.6,29.9
62,63,189.99,dark wood,47.2,23.6,29.9
